station,train_name,destination_station,train_number,arrival_planned_time,departure_planned_time,planned_platform,train_line_id,train_line_station_num,arrival_change_time,departure_change_time,stop_canceled,changed_platform
Aachen Hbf,RE 1,Aachen Hbf,26808,2024-05-09 10:07:00,,2,-7766261839514572852-2405090720,26,,,False,
Aachen Hbf,RB 33,Essen Hbf,10320,,2024-05-09 10:37:00,6,7448894008162231514-2405091037,1,,2024-05-09 10:42:00,False,3
Aachen Hbf,RE 4,Aachen Hbf,26410,2024-05-09 10:36:00,,7,-818617874786858328-2405090809,24,2024-05-09 10:44:00,,False,
Aachen Hbf,RB 20,Stolberg(Rheinl)Hbf Gl.44,30012,2024-05-09 10:01:00,2024-05-09 10:02:00,1,8345451836318455618-2405090950,4,,,False,
Aachen Hbf,RE 18,Maastricht,18928,,2024-05-09 10:47:00,6,8378697322147947280-2405091047,1,,2024-05-09 10:54:00,False,1
Aachen Hbf,RB 20,Alsdorf-Annapark,30560,2024-05-09 10:31:00,2024-05-09 10:32:00,1,3705165490584341209-2405091004,9,2024-05-09 10:32:00,2024-05-09 10:33:00,False,
Aachen Hbf,RB 33,Aachen Hbf,10319,2024-05-09 10:27:00,,6,612445710103187398-2405090816,31,2024-05-09 10:29:00,,False,3
Aachen Hbf,ICE 316,Bruxelles Midi,316,2024-05-09 10:16:00,2024-05-09 10:21:00,9,-5717720788505540143-2405090816,6,2024-05-09 10:25:00,2024-05-09 10:29:00,False,
Aachen Hbf,RE 18,Aachen Hbf,18923,2024-05-09 10:13:00,,6,-113279441776860783-2405090924,9,2024-05-09 10:19:00,,False,
Aachen Hbf,RE 1,Hamm(Westf)Hbf,26817,,2024-05-09 10:51:00,2,-3845145637786814987-2405091051,1,,2024-05-09 10:54:00,False,
Aachen Hbf,RE 4,Dortmund Hbf,26415,,2024-05-09 10:22:00,7,8455365654149493471-2405091022,1,,2024-05-09 10:25:00,False,
Aachen Hbf,RE 18,Maastricht,18926,,2024-05-09 10:17:00,6,4544147637619219031-2405091017,1,,2024-05-09 10:22:00,False,
Aachen Hbf,RE 29,Hergenrath,5031,,2024-05-09 10:37:00,8,-7364109473367523266-2405091037,1,,2024-05-09 10:40:00,False,
Aachen Hbf,RE 9,Aachen Hbf,10908,2024-05-09 10:41:00,,3,-3544363382926410787-2405090810,23,2024-05-09 10:53:00,,False,
Aachen Hbf,EST,Köln Hbf,9411,2024-05-09 10:33:00,2024-05-09 10:36:00,9,8220507468631686287-2405090755,4,2024-05-09 10:38:00,2024-05-09 10:41:00,False,
Aachen Hbf,RE 9,Siegen Hbf,10911,,2024-05-09 10:18:00,3,-5394342607351603373-2405091018,1,,2024-05-09 10:19:00,False,
Aachen Hbf,RB 20,Stolberg(Rheinl)Hbf,30013,2024-05-09 10:00:00,2024-05-09 10:01:00,8,-1442451286068020426-2405090912,14,,2024-05-09 10:02:00,False,
Aachen Hbf,RB 20,Stolberg-Rathaus,30565,2024-05-09 10:30:00,2024-05-09 10:31:00,7,-2975321552877188475-2405091002,9,2024-05-09 10:37:00,2024-05-09 10:38:00,False,
Aachen Hbf,RE 29,Aachen Hbf,5009,2024-05-09 10:22:00,,<,-8604021462073863285-2405090908,2,2024-05-09 10:28:00,,False,8
