"name","category","evas","longitude","latitude"
"Aachen Hbf",2,"08000001",6.091499,50.7678
"Aschaffenburg Hbf",2,"08000010",9.143697,49.980557
"Augsburg Hbf",1,"08000013",10.88557,48.365441
"Bad Oldesloe",2,"08000023",10.3825414,53.8053902
"Bamberg",2,"08000025",10.899489,49.900759
"Berlin Gesundbrunnen",1,"08011102,08089015",13.388513,52.548963
"Berlin Hauptbahnhof",1,"08011160,08089021,08098160",13.369545,52.525592
"Berlin Ostbahnhof",1,"08010255,08089185",13.4346807,52.5104881
"Berlin Ostkreuz",2,"08011162,08089028",13.469105,52.503037
"Berlin Potsdamer Platz",2,"08011118,08089032",13.375988,52.509379
"Berlin Südkreuz",1,"08011113,08089073",13.365319,52.475047
"Berlin Zoologischer Garten",2,"08010406,08089046",13.3324447,52.5073407
"Berlin-Friedrichstraße",2,"08011306,08089066",13.3872056,52.520373
"Berlin-Lichtenberg",2,"08010036,08089182",13.4966934,52.5101355
"Berlin-Spandau",2,"08010404,08089083",13.1968975,52.5346481
"Berlin-Wannsee",2,"08010405,08089190",13.1795275,52.4209723
"Bielefeld Hbf",2,"08000036",8.532722,52.029261
"Bietigheim-Bissingen",2,"08000038",9.137557,48.947933
"Bochum Hbf",2,"08000041",7.223275,51.478609
"Bonn Hbf",2,"08000044",7.097136,50.732008
"Braunschweig Hbf",2,"08000049",10.540295,52.252218
"Bremen Hbf",2,"08000050",8.813834,53.083481
"Bruchsal",2,"08000055",8.589649,49.124622
"Chemnitz Hbf",2,"08010184",12.930877,50.839696
"Cottbus Hbf",2,"08010073",14.324162,51.750957
"Darmstadt Hbf",2,"08000068",8.629636,49.872503
"Dortmund Hbf",1,"08000080",7.45929,51.517896
"Dresden Hbf",1,"08010085",13.732035,51.040563
"Dresden-Neustadt",2,"08010089",13.740701,51.065899
"Duisburg Hbf",1,"08000086",6.775903,51.429785
"Düsseldorf Hbf",1,"08000085",6.794319,51.219962
"Erfurt Hbf",2,"08010101",11.0379928,50.9723561
"Essen Hbf",1,"08000098",7.014793,51.451355
"Flughafen BER",2,"08011201,08089201",13.5119498,52.3648038
"Frankfurt (Main) Hbf",1,"08000105,08098105",8.66282825,50.1066819
"Frankfurt (Main) Süd",2,"08002041",8.686457,50.099365
"Frankfurt (Oder)",2,"08010113",14.546496,52.336416
"Freiburg (Breisgau) Hbf",2,"08000107",7.84117,47.997697
